date,Ohio and Kentucky,East,DAYTON,AEP,DUQ,DOM,hour
2014/1/2,2780,1636,1869,15201,1598,10828,0
2014/1/2,2664,1562,1817,14853,1520,10478,1
2014/1/2,2611,1522,1787,14822,1485,10328,2
2014/1/2,2587,1479,1762,14814,1471,10330,3
2014/1/2,2619,1498,1777,14955,1474,10491,4
2014/1/2,2709,1502,1841,15324,1500,10885,5
2014/1/2,2905,1577,1954,16045,1584,11656,6
2014/1/2,3140,1721,2130,17357,1713,12632,7
2014/1/2,3312,1768,2275,18276,1808,13284,8
2014/1/2,3360,1750,2323,18349,1834,13315,9
2014/1/2,3422,1784,2373,18231,1875,13246,10
2014/1/2,3513,1765,2433,18436,1901,13129,11
2014/1/2,3563,1862,2478,18431,1909,12771,12
2014/1/2,3614,1952,2502,18436,1920,12435,13
2014/1/2,3674,1999,2518,18518,1917,12320,14
2014/1/2,3728,2090,2520,18342,1937,12235,15
2014/1/2,3755,2168,2510,18256,1925,12388,16
2014/1/2,3830,2306,2550,18540,1972,12833,17
2014/1/2,4030,2434,2693,19531,2077,13627,18
2014/1/2,4173,2531,2782,20052,2118,13658,19
2014/1/2,4162,2572,2743,20115,2096,13464,20
2014/1/2,4087,2565,2695,19965,2062,13161,21
2014/1/2,3993,2522,2623,19632,1990,12586,22
2014/1/2,3837,2437,2514,19177,1895,11865,23
